EXP	original_es	original_ci_lower	original_ci_upper	n_completed_reps	replication_es	rema_es	rema_pi_lower	rema_pi_upper	rema_pvalue	rema_I2	rema_tau2	rema_Qp	fema_es	fema_ci_lower	fema_ci_upper	fema_pvalue	t_score_FEMA	t_score_mean	t_score	corrected_sign_original_es	corrected_sign_replication_es	log_es_ratio	es_ratio	original_cv	replication_cv	mean_abs_diff_reps	mean_abs_diff_reps_orig	significant_reps	n_voting_reps	subjective_success_reps
PCR158	-1.016111067156366	-1.4715214694017373	-0.5607006649109947	2	0.16520957660652527	0.16520957660652527	-0.670102214866403	1.0005213680794534	0.5330084576264515	45.368379133295775	0.13601261111111015	0.1760753764522531	0.09125050518090808	-0.27458178245577236	0.45708279281758846	0.5790461670790321	-0.5791299963680646	-0.4814943088503468	-0.5791299963680646	1.016111067156366	-0.16520957660652527	1.1813206437628914	3.258674911109503	0.28767059516899696	18.64101368956579	0.5367269668135838	1.2703805578917717	0	2	0
PCR16	3.585516941118783	3.5629977286619647	3.6080361535756014	2	0.41437040429960986	0.41437040429960986	-0.28973675658357495	1.118477565182795	0.1501222895459545	0	0	0.7416861266338172	0.41437040429960986	-0.28973675658357495	1.118477565182795	0.1501222895459545	1.9929701449781432	0.9667304971236703	1.9929701449781432	3.585516941118783	0.41437040429960986	3.1711465368191734	23.834796167822002	0.0124743157880881	-1.8465760206675705	0.18965277023654137	3.1056087890227655	0	2	0
PCR166	1.141992584298335	0.4859371531718364	1.7980480154248335	2	0.210467563712362	0.210467563712362	-0.7456427105542964	1.1665778379790204	0.6101434628299407	0	0	0.9429381501038628	0.210467563712362	-0.7456427105542964	1.1665778379790204	0.6101434628299407	0.5374123956191718	0.263753828249912	0.5374123956191718	1.141992584298335	0.210467563712362	0.931525020585973	2.5383773050263514	0.21664148664235436	-6.535452020273702	0.0641931305551898	0.9158918248173518	0	2	1
PCR184	0.3357576956833441	0.08780440956760124	0.583710981799087	2	-0.20109852818322294	-0.20109852818322294	-0.44015039573310333	0.03795333936665755	0.08933076241609031	0	0	0.7383401288796174	-0.20109852818322294	-0.44015039573310333	0.03795333936665755	0.08933076241609031	-1.9071552161370413	-0.7085403999053219	-1.9071552161370413	0.3357576956833441	-0.20109852818322294	0.5368562238665671	1.710620591817019	0.12851127828150674	-17.88598666011489	0.15805730281863525	0.4661115728091689	0	2	0
PCR23	0.9985288301111273	-0.06369997989516474	2.0607576401174192	2	0.4545226657016205	0.4545226657016205	-0.9906624476175357	1.8997077790207766	0.35600586674911805	49.05205539600582	0.5181224218750015	0.16121549044438765	0.5981761518398658	-0.011787753840261364	1.208140057519993	0.05417212107118929	2.044749074324771	0.7447419420346917	2.044749074324771	0.9985288301111273	0.4545226657016205	0.5440061644095068	1.7228952566100515	0.4239445466142292	5.632173200489056	1.0074605458113577	0.693211937640733	1	2	1
PCR29	0.719038594492687	-0.07889203238969367	1.5169692213750676	1	0.1421539674553238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5139927361254292	0.5139927361254292	0.719038594492687	0.1421539674553238	0.5768846270373632	1.7804829131606084	0.31806831003834835	5.394217714320362	NA	NA	0	1	1
PCR35	0.31709595765807425	0.05908774984904519	0.5751041654671033	2	0.19783741752762696	0.19783741752762696	-0.683067941615961	1.0787427766712148	0.639745238465623	0	0	0.4547068061211188	0.19783741752762696	-0.683067941615961	1.0787427766712148	0.639745238465623	0.47740488731039027	0.44776829270478796	0.47740488731039027	0.31709595765807425	0.19783741752762696	0.11925854013044729	1.1266611677621752	0.13929078358710756	1.0811806995651652	1.304425171917252	0.6931952197568795	0	1	0
PCR40	0.8586616190375187	0.4938893821516364	1.223433855923401	3	-0.9334127855803626	-0.9334127855803626	-4.77385601881276	2.907030447652034	0.3504509105170577	83.68492433591906	4.740720301033547	0.0054184330027664184	-0.06529304740754849	-0.6685364396137282	0.5379503447986312	0.8199129402294781	-0.2319342262719336	-0.6433427628408216	-0.2319342262719336	0.8586616190375187	-0.9334127855803626	1.7920744046178814	6.001889909923096	0.28453377149326475	0.6934958497932642	2.275448161071509	1.9836138209685117	0	3	1
PCR69	0.47000362924573563	0.26816744016602123	0.67183981832545	2	0.3439202561969335	0.3439202561969335	0.021031959601899852	0.6668085527919672	0.04445671757307036	0	0	0.4727893846210507	0.3439202561969335	0.021031959601899852	0.6668085527919672	0.04445671757307036	4.578590575401491	1.864890885075431	4.578590575401491	0.47000362924573563	0.3439202561969335	0.12608337304880213	1.1343767407879408	0.07071067811865477	-1.7631549478722142	2.4298659496295882	1.2149329748147941	1	2	0
ALTMTT13	-0.2043340640772224	-0.29538806196775036	-0.11328006618669442	2	-0.05288334268341323	-0.05288334268341323	-0.646065163235386	0.5402984778685596	0.8376187533229758	0	0	0.9592105072232824	-0.05288334268341323	-0.646065163235386	0.5402984778685596	0.8376187533229758	0.21312840384730333	0.11079310747837731	0.21312840384730333	0.2043340640772224	0.05288334268341323	0.15145072139380916	1.163520963705551	0.062372624695126694	0.9002852628289005	0.05361648965847645	0.1750650367081607	0	2	1
ALTMTT18	0.18148787604537725	0.02964287175361338	0.33333288033714115	3	-0.7790000043059958	-0.7790000043059958	-0.9703088470336394	-0.5876911615783522	6.488404301436887e-6	0	0	0.4404239125027977	-0.7790000043059958	-0.9703088470336394	-0.5876911615783522	6.488404301436887e-6	-9.190734499684748	-5.146317331160482	-9.190734499684748	0.18148787604537725	-0.7790000043059958	0.960487880351373	2.612970979694254	0.06616292307220814	0.29801722368265415	0.23243184247591064	0.8562198484770068	0	2	0
ALTMTT28	-0.556287997842748	-0.766946186607351	-0.34562980907814483	2	-0.0797197965215775	-0.0797197965215775	-0.27533854852526723	0.11589895548211225	0.36130331589857195	0	0	0.7261737383664207	-0.0797197965215775	-0.27533854852526723	0.11589895548211225	0.36130331589857195	0.9833540770326923	0.9014051893703467	0.9833540770326923	0.556287997842748	0.0797197965215775	0.47656820132117045	1.6105378657675122	0.082052543755814	0.2524468521961134	0.15588692838121454	0.40397981181660214	0	1	0
ALTMTT30	-0.5903976324428394	-1.1131666387380843	-0.06762862614759435	2	-0.7343032279335252	-0.7343032279335252	-1.8310989619553664	0.36249250608831585	0.04352300842943214	66.38217366880866	0.11984104804274535	0.08458038963064905	-0.5832353539883258	-0.8592443662577005	-0.30722634171895113	0.0019481236595780746	5.128153761492906	3.8045622876816445	5.128153761492906	0.5903976324428394	0.7343032279335252	-0.14390559549068582	0.8659694956257904	0.20721561421449264	0.3090157864131335	0.6008859680480345	0.30044298402401726	2	2	2
ALTMTT33	0.5386300607661101	0.48538261696850127	0.5918775045637189	2	-0.779991572259488	-0.779991572259488	-2.8619233837561078	1.3019402392371315	0.1999355156418778	82.70678386050749	0.5239233839867068	0.016185449690850687	-0.7664238932080284	-1.297626662674773	-0.2352211237412838	0.009906800295964927	-3.2761773086673314	-2.3411455466150564	-3.2761773086673314	0.5386300607661101	-0.779991572259488	1.318621633025598	3.738265123284634	0.04054862780597547	0.38057036157483826	1.12558506641333	1.3214585080121035	0	2	0
ALTMTT37	0.3988600536135331	0.21006388756301175	0.5876562196640545	3	0.08657474553609458	0.08657474553609458	-0.33910097198408723	0.5122504630562764	0.4618648770624745	47.61801205879747	0.01789676384141776	0.14777141353340775	0.04346605841077907	-0.11841769847735625	0.2053498152989144	0.5342788279105903	0.6598202327024686	0.6523597223325063	0.6598202327024686	0.3988600536135331	0.08657474553609458	0.31228530807743854	1.3665445236066935	0.07461183558608699	0.17856932067433642	0.2457046152366699	0.28026323229626193	0	3	1
ALTMTT4	-0.3011050927839216	-0.3809904853092288	-0.22121970025861443	2	-0.28570866553858587	-0.28570866553858587	-2.461112142444472	1.8896948113673002	0.6382699651850678	39.49379989196963	0.35193825459433353	0.19858869541625052	-0.056708837915849214	-0.7380839200234062	0.6246662441917077	0.8350545212703068	0.2204659211877666	0.5914084682519146	0.2204659211877666	0.3011050927839216	0.28570866553858587	0.015396427245335742	1.0155155628669943	0.03034569835044617	0.6025172168628072	1.3350077137604606	0.6675038568802303	0	2	0
ALTMTT42	-1.1290047633136922	-1.437401040004859	-0.8206084866225254	2	-1.1573219779743324	-1.1573219779743324	-1.6536660753356074	-0.6609778806130575	5.081503939931641e-4	79.59108386179048	0.01937412752123756	0.026859506838526524	-1.1687089202771956	-1.3068319420157253	-1.030585898538666	2.1767787717190094e-5	23.649143493855114	16.58542479852864	23.649143493855114	1.1290047633136922	1.1573219779743324	-0.0283172146606403	0.972079959873647	0.10495012778657707	0.0416189777988469	0.22064488565403062	0.11032244282701531	2	2	2
ALTMTT45	0.6348782724359695	0.3580837792289521	0.9116727656429868	2	-0.022475979774534596	-0.022475979774534596	-0.450497418624376	0.4055454590753068	0.9089264781514629	0	0	0.8080826244606175	-0.022475979774534596	-0.450497418624376	0.4055454590753068	0.9089264781514629	-0.11739721418299918	-0.07456943910912339	-0.11739721418299918	0.6348782724359695	-0.022475979774534596	0.6573542522105041	1.9296801276471267	0.1412732662599351	0.35741095062892786	0.09344888432880971	0.6528193435992868	0	2	0
ALTMTT56	-0.46234075650016626	-0.8560094892936159	-0.06867202370671666	2	0.0012772116331760317	0.0012772116331760317	-0.2886776267229737	0.2912320499893257	0.9922447269387058	0	0	0.7514976401323196	0.0012772116331760317	-0.2886776267229737	0.2912320499893257	0.9922447269387058	-0.009999542633767388	0.12873332963524398	-0.009999542633767388	0.46234075650016626	-0.0012772116331760317	0.4636179681333423	1.5898154942288905	0.15238208281170412	0.8444895360981655	0.28934054823654143	0.3247167347597796	0	2	0
ALTMTT60	-0.32609031574810077	-0.4057771333660043	-0.2464034981301972	1	0.03742700420362724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.09536306657406417	-0.09536306657406417	0.32609031574810077	-0.03742700420362724	0.363517319951728	1.438379769357697	0.03368961540389066	0.47971835744955565	NA	NA	0	1	1
